state,district,case,cured,active,death
"tamil nadu","tiruchirappalli","<div class=""td-dc"">8434</div><div class=""td-ddc""><span class=""skgm-inc""></span>98</div>","<div class=""td-dr"">7391</div><div class=""td-ddr""><span class=""skgm-inc""></span>90</div>","<div class=""td-da"">913</div>","<div class=""td-dd"">130</div><div class=""td-ddd""><span class=""skgm-inc""></span>5</div>"
"tamil nadu","thanjavur","<div class=""td-dc"">7822</div><div class=""td-ddc""><span class=""skgm-inc""></span>131</div>","<div class=""td-dr"">6777</div><div class=""td-ddr""><span class=""skgm-inc""></span>223</div>","<div class=""td-da"">921</div>","<div class=""td-dd"">124</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"tamil nadu","dindigul","<div class=""td-dc"">7597</div><div class=""td-ddc""><span class=""skgm-inc""></span>96</div>","<div class=""td-dr"">6477</div><div class=""td-ddr""><span class=""skgm-inc""></span>110</div>","<div class=""td-da"">974</div>","<div class=""td-dd"">146</div><div class=""td-ddd""><span class=""skgm-inc""></span>3</div>"
"tamil nadu","kallakurichi","<div class=""td-dc"">7406</div><div class=""td-ddc""><span class=""skgm-inc""></span>114</div>","<div class=""td-dr"">6263</div><div class=""td-ddr""><span class=""skgm-inc""></span>213</div>","<div class=""td-da"">1058</div>","<div class=""td-dd"">85</div><div class=""td-ddd""></div>"
"tamil nadu","pudukkottai","<div class=""td-dc"">7004</div><div class=""td-ddc""><span class=""skgm-inc""></span>118</div>","<div class=""td-dr"">6077</div><div class=""td-ddr""><span class=""skgm-inc""></span>188</div>","<div class=""td-da"">811</div>","<div class=""td-dd"">116</div><div class=""td-ddd""></div>"
"tamil nadu","tenkasi","<div class=""td-dc"">6019</div><div class=""td-ddc""><span class=""skgm-inc""></span>60</div>","<div class=""td-dr"">5225</div><div class=""td-ddr""><span class=""skgm-inc""></span>40</div>","<div class=""td-da"">681</div>","<div class=""td-dd"">113</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"tamil nadu","ramanathapuram","<div class=""td-dc"">5079</div><div class=""td-ddc""><span class=""skgm-inc""></span>40</div>","<div class=""td-dr"">4619</div><div class=""td-ddr""><span class=""skgm-inc""></span>24</div>","<div class=""td-da"">349</div>","<div class=""td-dd"">111</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"tamil nadu","thiruvarur","<div class=""td-dc"">4687</div><div class=""td-ddc""><span class=""skgm-inc""></span>127</div>","<div class=""td-dr"">3772</div><div class=""td-ddr""><span class=""skgm-inc""></span>113</div>","<div class=""td-da"">853</div>","<div class=""td-dd"">62</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"tamil nadu","sivaganga","<div class=""td-dc"">4382</div><div class=""td-ddc""><span class=""skgm-inc""></span>37</div>","<div class=""td-dr"">4031</div><div class=""td-ddr""><span class=""skgm-inc""></span>25</div>","<div class=""td-da"">237</div>","<div class=""td-dd"">114</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"tamil nadu","erode","<div class=""td-dc"">4172</div><div class=""td-ddc""><span class=""skgm-inc""></span>90</div>","<div class=""td-dr"">3096</div><div class=""td-ddr""><span class=""skgm-inc""></span>139</div>","<div class=""td-da"">1024</div>","<div class=""td-dd"">52</div><div class=""td-ddd""></div>"
